test_id,ground_truth,majority_prediction,consistency_score,total_runs,prediction_distribution
69,1.0,1,0.75,4,"{np.int64(0): np.int64(1), np.int64(1): np.int64(3)}"
70,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
71,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
72,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
73,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
74,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
75,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
76,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
77,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
78,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
79,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
80,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
81,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
82,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
83,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
84,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
85,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
86,1.0,1,0.75,4,"{np.int64(0): np.int64(1), np.int64(1): np.int64(3)}"
87,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
88,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
89,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
90,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
91,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
92,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
93,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
94,1.0,1,0.75,4,"{np.int64(0): np.int64(1), np.int64(1): np.int64(3)}"
95,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
96,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
97,0.0,1,1.0,4,{np.int64(1): np.int64(4)}
98,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
99,1.0,1,1.0,4,{np.int64(1): np.int64(4)}
